wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;11106;2.90;22;7;15;985;13797;151583;71136;12551;57726;859;t0000;2022-01-08
dolnoœl¹skie;boles³awiecki;48;5.33;0;0;0;0;39;320;185;49;129;7;t0201;2022-01-08
dolnoœl¹skie;dzier¿oniowski;30;2.98;0;0;0;0;38;362;142;33;109;0;t0202;2022-01-08
dolnoœl¹skie;g³ogowski;16;1.80;0;0;0;0;19;222;110;20;89;1;t0203;2022-01-08
dolnoœl¹skie;górowski;2;0.58;0;0;0;0;6;101;63;2;61;0;t0204;2022-01-08
dolnoœl¹skie;jaworski;17;3.40;0;0;0;0;14;144;64;17;47;0;t0205;2022-01-08
dolnoœl¹skie;jeleniogórski;9;1.42;0;0;0;0;26;198;50;12;37;1;t0206;2022-01-08
dolnoœl¹skie;kamiennogórski;6;1.39;0;0;0;5;9;91;39;11;25;3;t0207;2022-01-08
dolnoœl¹skie;k³odzki;31;1.97;0;0;0;1;29;511;208;50;158;0;t0208;2022-01-08
dolnoœl¹skie;legnicki;17;3.08;0;0;0;0;21;225;58;18;39;1;t0209;2022-01-08
dolnoœl¹skie;lubañski;2;0.37;0;0;0;0;26;212;24;4;20;0;t0210;2022-01-08
dolnoœl¹skie;lubiñski;45;4.24;0;0;0;3;14;393;199;51;142;6;t0211;2022-01-08
dolnoœl¹skie;lwówecki;1;0.22;0;0;0;0;4;91;23;1;22;0;t0212;2022-01-08
dolnoœl¹skie;milicki;8;2.17;0;0;0;0;22;165;47;10;37;0;t0213;2022-01-08
dolnoœl¹skie;oleœnicki;37;3.45;0;0;0;1;49;439;145;41;104;0;t0214;2022-01-08
dolnoœl¹skie;o³awski;21;2.73;0;0;0;2;44;367;99;24;75;0;t0215;2022-01-08
dolnoœl¹skie;polkowicki;3;0.48;0;0;0;0;23;230;48;4;44;0;t0216;2022-01-08
dolnoœl¹skie;strzeliñski;12;2.76;0;0;0;0;17;154;47;15;32;0;t0217;2022-01-08
dolnoœl¹skie;œredzki;27;4.88;0;0;0;0;23;346;110;30;78;2;t0218;2022-01-08
dolnoœl¹skie;œwidnicki;35;2.24;0;0;0;1;38;682;139;40;96;3;t0219;2022-01-08
dolnoœl¹skie;trzebnicki;34;3.98;0;0;0;0;40;458;150;35;113;2;t0220;2022-01-08
dolnoœl¹skie;wa³brzyski;16;2.89;0;0;0;1;29;171;87;20;66;1;t0221;2022-01-08
dolnoœl¹skie;wo³owski;19;4.07;0;0;0;0;22;216;65;20;44;1;t0222;2022-01-08
dolnoœl¹skie;wroc³awski;56;3.64;0;0;0;2;61;761;286;65;221;0;t0223;2022-01-08
dolnoœl¹skie;z¹bkowicki;12;1.86;0;0;0;0;6;138;89;13;76;0;t0224;2022-01-08
dolnoœl¹skie;zgorzelecki;14;1.58;0;0;0;0;17;361;58;16;41;1;t0225;2022-01-08
dolnoœl¹skie;z³otoryjski;14;3.24;0;0;0;0;17;172;50;14;34;2;t0226;2022-01-08
dolnoœl¹skie;Jelenia Góra;10;1.27;0;0;0;3;18;258;66;10;55;1;t0261;2022-01-08
dolnoœl¹skie;Legnica;41;4.14;0;0;0;0;40;427;138;44;93;1;t0262;2022-01-08
dolnoœl¹skie;Wroc³aw;294;4.57;0;0;0;14;398;2994;1395;333;1048;14;t0264;2022-01-08
dolnoœl¹skie;Wa³brzych;47;4.25;0;0;0;5;40;404;162;49;112;1;t0265;2022-01-08
kujawsko-pomorskie;aleksandrowski;10;1.82;0;0;0;0;11;159;88;11;76;1;t0401;2022-01-08
kujawsko-pomorskie;brodnicki;9;1.14;0;0;0;2;20;284;90;10;80;0;t0402;2022-01-08
kujawsko-pomorskie;bydgoski;30;2.51;0;0;0;4;38;436;213;32;178;3;t0403;2022-01-08
kujawsko-pomorskie;che³miñski;18;3.47;0;0;0;1;23;178;80;20;60;0;t0404;2022-01-08
kujawsko-pomorskie;golubsko-dobrzyñski;6;1.33;0;0;0;2;12;122;36;6;30;0;t0405;2022-01-08
kujawsko-pomorskie;grudzi¹dzki;6;1.49;0;0;0;2;13;193;72;6;65;1;t0406;2022-01-08
kujawsko-pomorskie;inowroc³awski;45;2.82;0;0;0;1;79;567;283;49;234;0;t0407;2022-01-08
kujawsko-pomorskie;lipnowski;18;2.74;0;0;0;5;11;184;94;18;75;1;t0408;2022-01-08
kujawsko-pomorskie;mogileñski;7;1.54;0;0;0;0;49;216;55;7;47;1;t0409;2022-01-08
kujawsko-pomorskie;nakielski;12;1.39;0;0;0;2;28;375;115;13;100;2;t0410;2022-01-08
kujawsko-pomorskie;radziejowski;4;0.99;0;0;0;0;15;122;41;5;35;1;t0411;2022-01-08
kujawsko-pomorskie;rypiñski;1;0.23;0;0;0;1;6;82;36;2;34;0;t0412;2022-01-08
kujawsko-pomorskie;sêpoleñski;4;0.98;0;0;0;8;16;126;42;4;38;0;t0413;2022-01-08
kujawsko-pomorskie;œwiecki;12;1.21;0;0;0;3;28;319;191;15;173;3;t0414;2022-01-08
kujawsko-pomorskie;toruñski;18;1.65;0;0;0;2;29;326;147;22;125;0;t0415;2022-01-08
kujawsko-pomorskie;tucholski;7;1.45;0;0;0;0;9;191;53;7;43;3;t0416;2022-01-08
kujawsko-pomorskie;w¹brzeski;0;0;0;0;0;1;5;79;20;0;20;0;t0417;2022-01-08
kujawsko-pomorskie;w³oc³awski;9;1.05;0;0;0;0;31;286;83;13;69;1;t0418;2022-01-08
kujawsko-pomorskie;¿niñski;7;1.00;0;0;0;0;23;212;168;7;159;2;t0419;2022-01-08
kujawsko-pomorskie;Bydgoszcz;91;2.62;0;0;0;19;129;1221;582;101;471;10;t0461;2022-01-08
kujawsko-pomorskie;Grudzi¹dz;9;0.96;0;0;0;7;21;360;154;13;138;3;t0462;2022-01-08
kujawsko-pomorskie;Toruñ;47;2.34;0;0;0;16;73;531;284;51;232;1;t0463;2022-01-08
kujawsko-pomorskie;W³oc³awek;20;1.83;0;0;0;0;32;258;141;22;119;0;t0464;2022-01-08
lubelskie;bialski;17;1.54;0;0;0;0;17;227;155;20;135;0;t0601;2022-01-08
lubelskie;bi³gorajski;17;1.69;0;0;0;0;15;262;152;21;131;0;t0602;2022-01-08
lubelskie;che³mski;17;2.19;0;0;0;0;20;167;114;17;96;1;t0603;2022-01-08
lubelskie;hrubieszowski;8;1.28;0;0;0;1;11;149;63;8;54;1;t0604;2022-01-08
lubelskie;janowski;14;3.08;0;0;0;0;7;110;48;14;34;0;t0605;2022-01-08
lubelskie;krasnostawski;9;1.43;0;0;0;0;16;174;94;12;80;2;t0606;2022-01-08
lubelskie;kraœnicki;16;1.68;0;0;0;1;16;179;144;20;122;2;t0607;2022-01-08
lubelskie;lubartowski;22;2.50;0;0;0;0;21;221;144;25;119;0;t0608;2022-01-08
lubelskie;lubelski;46;2.95;0;0;0;5;50;610;244;48;196;0;t0609;2022-01-08
lubelskie;³êczyñski;14;2.44;0;0;0;1;20;157;98;15;83;0;t0610;2022-01-08
lubelskie;³ukowski;16;1.50;0;0;0;4;11;346;158;17;141;0;t0611;2022-01-08
lubelskie;opolski;8;1.36;0;0;0;2;15;103;78;12;66;0;t0612;2022-01-08
lubelskie;parczewski;9;2.60;0;0;0;0;4;64;63;10;52;1;t0613;2022-01-08
lubelskie;pu³awski;29;2.57;0;0;0;5;40;397;166;33;133;0;t0614;2022-01-08
lubelskie;radzyñski;10;1.71;0;0;0;0;3;112;71;10;59;2;t0615;2022-01-08
lubelskie;rycki;15;2.69;0;0;0;2;10;190;95;16;75;4;t0616;2022-01-08
