wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;10900;2.84;292;77;215;23905;15155;167110;81276;12433;67845;998;t0000;2022-01-07
dolnoœl¹skie;boles³awiecki;66;7.33;0;0;0;84;37;378;236;73;160;3;t0201;2022-01-07
dolnoœl¹skie;dzier¿oniowski;39;3.88;0;0;0;50;61;431;230;41;184;5;t0202;2022-01-07
dolnoœl¹skie;g³ogowski;4;0.45;0;0;0;37;37;273;99;5;94;0;t0203;2022-01-07
dolnoœl¹skie;górowski;0;0;1;1;0;21;7;117;33;0;33;0;t0204;2022-01-07
dolnoœl¹skie;jaworski;7;1.40;0;0;0;25;24;192;61;7;53;1;t0205;2022-01-07
dolnoœl¹skie;jeleniogórski;12;1.89;0;0;0;27;15;218;87;13;74;0;t0206;2022-01-07
dolnoœl¹skie;kamiennogórski;15;3.48;0;0;0;16;10;109;119;15;103;1;t0207;2022-01-07
dolnoœl¹skie;k³odzki;43;2.74;0;0;0;98;56;589;249;47;200;2;t0208;2022-01-07
dolnoœl¹skie;legnicki;6;1.09;0;0;0;28;25;224;49;6;42;1;t0209;2022-01-07
dolnoœl¹skie;lubañski;20;3.70;0;0;0;35;19;245;60;21;39;0;t0210;2022-01-07
dolnoœl¹skie;lubiñski;21;1.98;0;0;0;75;72;446;128;25;102;1;t0211;2022-01-07
dolnoœl¹skie;lwówecki;7;1.53;0;0;0;32;11;115;74;8;66;0;t0212;2022-01-07
dolnoœl¹skie;milicki;5;1.35;0;0;0;27;15;185;24;5;19;0;t0213;2022-01-07
dolnoœl¹skie;oleœnicki;23;2.14;0;0;0;51;59;487;149;24;122;3;t0214;2022-01-07
dolnoœl¹skie;o³awski;18;2.34;0;0;0;42;26;436;114;23;90;1;t0215;2022-01-07
dolnoœl¹skie;polkowicki;15;2.38;0;0;0;22;13;259;101;19;80;2;t0216;2022-01-07
dolnoœl¹skie;strzeliñski;8;1.84;0;0;0;26;12;188;66;9;57;0;t0217;2022-01-07
dolnoœl¹skie;œredzki;5;0.90;0;0;0;49;21;344;54;8;45;1;t0218;2022-01-07
dolnoœl¹skie;œwidnicki;49;3.13;0;0;0;79;73;765;219;55;164;0;t0219;2022-01-07
dolnoœl¹skie;trzebnicki;50;5.85;0;0;0;52;47;505;149;55;92;2;t0220;2022-01-07
dolnoœl¹skie;wa³brzyski;9;1.62;0;0;0;30;11;198;67;10;57;0;t0221;2022-01-07
dolnoœl¹skie;wo³owski;26;5.56;0;0;0;26;22;238;70;32;38;0;t0222;2022-01-07
dolnoœl¹skie;wroc³awski;81;5.26;1;1;0;99;81;858;342;94;246;2;t0223;2022-01-07
dolnoœl¹skie;z¹bkowicki;15;2.33;0;0;0;32;16;178;90;20;68;2;t0224;2022-01-07
dolnoœl¹skie;zgorzelecki;20;2.25;0;0;0;39;61;398;89;20;64;5;t0225;2022-01-07
dolnoœl¹skie;z³otoryjski;5;1.16;0;0;0;20;2;188;38;5;33;0;t0226;2022-01-07
dolnoœl¹skie;Jelenia Góra;20;2.54;0;0;0;46;34;303;146;24;122;0;t0261;2022-01-07
dolnoœl¹skie;Legnica;8;0.81;0;0;0;50;53;472;118;11;107;0;t0262;2022-01-07
dolnoœl¹skie;Wroc³aw;324;5.03;0;0;0;356;403;3362;1567;379;1158;30;t0264;2022-01-07
dolnoœl¹skie;Wa³brzych;13;1.18;0;0;0;54;57;440;128;14;113;1;t0265;2022-01-07
kujawsko-pomorskie;aleksandrowski;16;2.91;1;0;1;26;7;199;93;16;77;0;t0401;2022-01-07
kujawsko-pomorskie;brodnicki;14;1.77;1;0;1;34;15;314;122;16;106;0;t0402;2022-01-07
kujawsko-pomorskie;bydgoski;27;2.26;1;0;1;80;58;512;291;27;258;6;t0403;2022-01-07
kujawsko-pomorskie;che³miñski;19;3.67;2;2;0;49;14;193;117;25;91;1;t0404;2022-01-07
kujawsko-pomorskie;golubsko-dobrzyñski;28;6.23;0;0;0;29;11;138;99;28;70;1;t0405;2022-01-07
kujawsko-pomorskie;grudzi¹dzki;9;2.24;0;0;0;16;9;198;87;11;74;2;t0406;2022-01-07
kujawsko-pomorskie;inowroc³awski;47;2.95;2;0;2;168;68;668;353;60;288;5;t0407;2022-01-07
kujawsko-pomorskie;lipnowski;9;1.37;2;1;1;29;8;208;114;10;103;1;t0408;2022-01-07
kujawsko-pomorskie;mogileñski;7;1.54;1;0;1;13;11;246;95;7;88;0;t0409;2022-01-07
kujawsko-pomorskie;nakielski;21;2.44;0;0;0;45;49;397;204;25;176;3;t0410;2022-01-07
kujawsko-pomorskie;radziejowski;7;1.74;0;0;0;29;6;160;69;7;59;3;t0411;2022-01-07
kujawsko-pomorskie;rypiñski;6;1.38;0;0;0;33;9;105;70;6;63;1;t0412;2022-01-07
kujawsko-pomorskie;sêpoleñski;12;2.93;1;0;1;27;18;150;94;12;81;1;t0413;2022-01-07
