"","X","wojewodztwo","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na","liczba_ozdrowiencow"
"242",4098,"Cały kraj",108,0.03,4,2,2,1505,84546,37197,152,36981,64,"t00","2021-07-22",127
"243",4115,"Cały kraj",122,0.03,6,2,4,1647,85506,41826,163,41605,58,"t00","2021-07-23",120
"244",4132,"Cały kraj",82,0.02,1,0,1,306,84878,32296,108,32146,42,"t00","2021-07-24",97
"245",4149,"Cały kraj",74,0.02,0,0,0,149,83518,23529,89,23400,40,"t00","2021-07-25",110
"246",4166,"Cały kraj",106,0.03,7,1,6,2165,84492,42491,144,42271,76,"t00","2021-07-26",100
"247",4183,"Cały kraj",138,0.04,3,1,2,1655,81796,39143,173,38890,80,"t00","2021-07-27",94
"248",4200,"Cały kraj",167,0.04,5,1,4,1482,80131,37501,232,37201,68,"t00","2021-07-28",112
"249",4217,"Cały kraj",153,0.04,2,0,2,1460,79433,37028,187,36787,54,"t00","2021-07-29",134
"250",4234,"Cały kraj",153,0.04,2,1,1,1648,79794,42822,196,42561,65,"t00","2021-07-30",131
"251",4251,"Cały kraj",91,0.02,0,0,0,487,77828,33372,106,33219,47,"t00","2021-07-31",144
"252",4268,"Cały kraj",91,0.02,0,0,0,318,76407,24769,110,24617,42,"t00","2021-08-01",133
"253",4285,"Cały kraj",164,0.04,4,2,2,2319,77004,45993,211,45716,66,"t00","2021-08-02",98
"254",4302,"Cały kraj",164,0.04,4,0,4,1594,75282,41833,200,41539,94,"t00","2021-08-03",105
"255",4319,"Cały kraj",176,0.05,6,4,2,1533,74265,39810,219,39542,49,"t00","2021-08-04",143
"256",4336,"Cały kraj",172,0.04,6,3,3,1518,72166,39327,203,39076,48,"t00","2021-08-05",170
"257",4353,"Cały kraj",181,0.05,4,2,2,1604,72394,45508,208,45260,40,"t00","2021-08-06",187
"258",4370,"Cały kraj",122,0.03,0,0,0,271,71091,36723,145,36548,30,"t00","2021-08-07",162
"259",4387,"Cały kraj",64,0.02,0,0,0,294,69832,24963,74,24857,32,"t00","2021-08-08",175
"260",4404,"Cały kraj",200,0.05,0,0,0,2389,70771,46681,242,46362,77,"t00","2021-08-09",113
"261",4421,"Cały kraj",198,0.05,4,1,3,1682,68287,41444,248,41110,86,"t00","2021-08-10",119
"262",4438,"Cały kraj",223,0.06,2,1,1,1705,66847,39662,253,39343,66,"t00","2021-08-11",155
"263",4455,"Cały kraj",196,0.05,6,2,4,1589,66472,39373,236,39086,51,"t00","2021-08-12",186
"264",4472,"Cały kraj",211,0.06,2,0,2,1805,65896,46087,256,45781,50,"t00","2021-08-13",215
