"","liczba_przypadkow","stan_rekordu_na","wojewodztwo"
"669",604,NA,"łódzkie"
"670",281,NA,"małopolskie"
"671",1046,NA,"mazowieckie"
"672",182,NA,"opolskie"
"673",217,NA,"podkarpackie"
"674",173,NA,"podlaskie"
"675",787,NA,"pomorskie"
"676",431,NA,"śląskie"
"677",98,NA,"świętokrzyskie"
"678",321,NA,"warmińsko-mazurskie"
"679",915,NA,"wielkopolskie"
"680",538,NA,"zachodniopomorskie"
"681",5739,NA,"Cały kraj"
"682",246,NA,"dolnośląskie"
"683",673,NA,"kujawsko-pomorskie"
"684",207,NA,"lubelskie"
"685",169,NA,"lubuskie"
"686",292,NA,"łódzkie"
"687",200,NA,"małopolskie"
"688",903,NA,"mazowieckie"
"689",100,NA,"opolskie"
"690",118,NA,"podkarpackie"
"691",171,NA,"podlaskie"
"692",705,NA,"pomorskie"
"693",288,NA,"śląskie"
"694",77,NA,"świętokrzyskie"
"695",376,NA,"warmińsko-mazurskie"
"696",495,NA,"wielkopolskie"
"697",518,NA,"zachodniopomorskie"
"698",4432,NA,"Cały kraj"
"699",115,NA,"dolnośląskie"
"700",484,NA,"kujawsko-pomorskie"
"701",142,NA,"lubelskie"
"702",96,NA,"lubuskie"
"703",287,NA,"łódzkie"
"704",194,NA,"małopolskie"
"705",746,NA,"mazowieckie"
"706",84,NA,"opolskie"
"707",116,NA,"podkarpackie"
"708",80,NA,"podlaskie"
"709",623,NA,"pomorskie"
"710",282,NA,"śląskie"
"711",59,NA,"świętokrzyskie"
"712",139,NA,"warmińsko-mazurskie"
"713",317,NA,"wielkopolskie"
"714",436,NA,"zachodniopomorskie"
"715",7624,NA,"Cały kraj"
"716",481,NA,"dolnośląskie"
"717",913,NA,"kujawsko-pomorskie"
"718",447,NA,"lubelskie"
"719",93,NA,"lubuskie"
"720",487,NA,"łódzkie"
"721",233,NA,"małopolskie"
"722",824,NA,"mazowieckie"
"723",93,NA,"opolskie"
"724",270,NA,"podkarpackie"
"725",189,NA,"podlaskie"
"726",534,NA,"pomorskie"
"727",740,NA,"śląskie"
"728",88,NA,"świętokrzyskie"
"729",601,NA,"warmińsko-mazurskie"
"730",802,NA,"wielkopolskie"
"731",569,NA,"zachodniopomorskie"
"732",14151,NA,"Cały kraj"
"733",599,NA,"dolnośląskie"
"734",1300,NA,"kujawsko-pomorskie"
"735",658,NA,"lubelskie"
"736",368,NA,"lubuskie"
"737",1058,NA,"łódzkie"
"738",625,NA,"małopolskie"
"739",1686,NA,"mazowieckie"
"740",222,NA,"opolskie"
"741",654,NA,"podkarpackie"
"742",477,NA,"podlaskie"
"743",1148,NA,"pomorskie"
"744",1391,NA,"śląskie"
"745",218,NA,"świętokrzyskie"
"746",1082,NA,"warmińsko-mazurskie"
"747",1488,NA,"wielkopolskie"
"748",921,NA,"zachodniopomorskie"
"749",12054,NA,"Cały kraj"
"750",627,NA,"dolnośląskie"
"751",1078,NA,"kujawsko-pomorskie"
"752",331,NA,"lubelskie"
"753",379,NA,"lubuskie"
"754",627,NA,"łódzkie"
"755",453,NA,"małopolskie"
"756",1469,NA,"mazowieckie"
"757",326,NA,"opolskie"
"758",570,NA,"podkarpackie"
"759",272,NA,"podlaskie"
"760",1003,NA,"pomorskie"
"761",855,NA,"śląskie"
"762",181,NA,"świętokrzyskie"
"763",709,NA,"warmińsko-mazurskie"
"764",1609,NA,"wielkopolskie"
"765",1324,NA,"zachodniopomorskie"
"766",8790,NA,"Cały kraj"
"767",461,NA,"dolnośląskie"
"768",1034,NA,"kujawsko-pomorskie"
"769",403,NA,"lubelskie"
"770",233,NA,"lubuskie"
"771",546,NA,"łódzkie"
"772",352,NA,"małopolskie"
"773",1216,NA,"mazowieckie"
"774",96,NA,"opolskie"
"775",490,NA,"podkarpackie"
"776",293,NA,"podlaskie"
"777",987,NA,"pomorskie"
"778",548,NA,"śląskie"
"779",89,NA,"świętokrzyskie"
"780",486,NA,"warmińsko-mazurskie"
"781",774,NA,"wielkopolskie"
"782",554,NA,"zachodniopomorskie"
"783",10548,NA,"Cały kraj"
"784",514,NA,"dolnośląskie"
"785",886,NA,"kujawsko-pomorskie"
"786",512,NA,"lubelskie"
"787",293,NA,"lubuskie"
"788",702,NA,"łódzkie"
"789",418,NA,"małopolskie"
"790",1333,NA,"mazowieckie"
"791",195,NA,"opolskie"
"792",291,NA,"podkarpackie"
"793",298,NA,"podlaskie"
"794",977,NA,"pomorskie"
"795",836,NA,"śląskie"
"796",154,NA,"świętokrzyskie"
"797",928,NA,"warmińsko-mazurskie"
"798",1151,NA,"wielkopolskie"
"799",843,NA,"zachodniopomorskie"
"800",9410,NA,"Cały kraj"
"801",459,NA,"dolnośląskie"
"802",923,NA,"kujawsko-pomorskie"
"803",381,NA,"lubelskie"
"804",261,NA,"lubuskie"
"805",573,NA,"łódzkie"
"806",260,NA,"małopolskie"
"807",1305,NA,"mazowieckie"
"808",181,NA,"opolskie"
"809",214,NA,"podkarpackie"
"810",239,NA,"podlaskie"
"811",1010,NA,"pomorskie"
"812",676,NA,"śląskie"
"813",151,NA,"świętokrzyskie"
"814",515,NA,"warmińsko-mazurskie"
"815",1106,NA,"wielkopolskie"
"816",936,NA,"zachodniopomorskie"
"817",4622,NA,"Cały kraj"
"818",227,NA,"dolnośląskie"
"819",388,NA,"kujawsko-pomorskie"
"820",138,NA,"lubelskie"
"821",190,NA,"lubuskie"
"822",218,NA,"łódzkie"
"823",233,NA,"małopolskie"
"824",627,NA,"mazowieckie"
"825",127,NA,"opolskie"
"826",159,NA,"podkarpackie"
"827",75,NA,"podlaskie"
"828",509,NA,"pomorskie"
"829",233,NA,"śląskie"
"830",97,NA,"świętokrzyskie"
"831",210,NA,"warmińsko-mazurskie"
"832",446,NA,"wielkopolskie"
"833",570,NA,"zachodniopomorskie"
"834",5569,NA,"Cały kraj"
"835",339,NA,"dolnośląskie"
"836",526,NA,"kujawsko-pomorskie"
"837",344,NA,"lubelskie"
"838",89,NA,"lubuskie"
"839",285,NA,"łódzkie"
"840",236,NA,"małopolskie"
"841",695,NA,"mazowieckie"
"842",116,NA,"opolskie"
"843",108,NA,"podkarpackie"
"844",143,NA,"podlaskie"
"845",583,NA,"pomorskie"
"846",522,NA,"śląskie"
"847",108,NA,"świętokrzyskie"
"848",483,NA,"warmińsko-mazurskie"
"849",483,NA,"wielkopolskie"
"850",400,NA,"zachodniopomorskie"
"851",9053,NA,"Cały kraj"
"852",452,NA,"dolnośląskie"
"853",910,NA,"kujawsko-pomorskie"
"854",493,NA,"lubelskie"
"855",243,NA,"lubuskie"
"856",567,NA,"łódzkie"
"857",383,NA,"małopolskie"
"858",1069,NA,"mazowieckie"
"859",172,NA,"opolskie"
"860",235,NA,"podkarpackie"
"861",333,NA,"podlaskie"
"862",729,NA,"pomorskie"
"863",818,NA,"śląskie"
"864",131,NA,"świętokrzyskie"
"865",626,NA,"warmińsko-mazurskie"
"866",1014,NA,"wielkopolskie"
"867",700,NA,"zachodniopomorskie"
"868",9436,NA,"Cały kraj"
"869",463,NA,"dolnośląskie"
"870",993,NA,"kujawsko-pomorskie"
"871",403,NA,"lubelskie"
"872",288,NA,"lubuskie"
"873",554,NA,"łódzkie"
"874",337,NA,"małopolskie"
"875",1231,NA,"mazowieckie"
"876",235,NA,"opolskie"
"877",233,NA,"podkarpackie"
"878",291,NA,"podlaskie"
"879",878,NA,"pomorskie"
"880",727,NA,"śląskie"
"881",164,NA,"świętokrzyskie"
"882",690,NA,"warmińsko-mazurskie"
"883",1058,NA,"wielkopolskie"
"884",788,NA,"zachodniopomorskie"
"885",7795,NA,"Cały kraj"
"886",477,NA,"dolnośląskie"
"887",712,NA,"kujawsko-pomorskie"
"888",355,NA,"lubelskie"
"889",218,NA,"lubuskie"
"890",495,NA,"łódzkie"
"891",321,NA,"małopolskie"
"892",946,NA,"mazowieckie"
"893",214,NA,"opolskie"
"894",232,NA,"podkarpackie"
"895",277,NA,"podlaskie"
"896",740,NA,"pomorskie"
"897",601,NA,"śląskie"
"898",127,NA,"świętokrzyskie"
"899",420,NA,"warmińsko-mazurskie"
"900",768,NA,"wielkopolskie"
"901",749,NA,"zachodniopomorskie"
"902",7412,NA,"Cały kraj"
"903",378,NA,"dolnośląskie"
"904",653,NA,"kujawsko-pomorskie"
"905",358,NA,"lubelskie"
"906",178,NA,"lubuskie"
"907",416,NA,"łódzkie"
"908",293,NA,"małopolskie"
"909",1040,NA,"mazowieckie"
"910",222,NA,"opolskie"
"911",194,NA,"podkarpackie"
"912",210,NA,"podlaskie"
"913",741,NA,"pomorskie"
"914",608,NA,"śląskie"
"915",120,NA,"świętokrzyskie"
"916",547,NA,"warmińsko-mazurskie"
"917",696,NA,"wielkopolskie"
"918",629,NA,"zachodniopomorskie"
"919",6055,NA,"Cały kraj"
"920",302,NA,"dolnośląskie"
"921",658,NA,"kujawsko-pomorskie"
"922",318,NA,"lubelskie"
"923",247,NA,"lubuskie"
"924",351,NA,"łódzkie"
"925",225,NA,"małopolskie"
"926",816,NA,"mazowieckie"
"927",99,NA,"opolskie"
"928",177,NA,"podkarpackie"
"929",121,NA,"podlaskie"
"930",603,NA,"pomorskie"
"931",408,NA,"śląskie"
"932",125,NA,"świętokrzyskie"
"933",287,NA,"warmińsko-mazurskie"
"934",828,NA,"wielkopolskie"
"935",324,NA,"zachodniopomorskie"
"936",3271,NA,"Cały kraj"
"937",156,NA,"dolnośląskie"
"938",201,NA,"kujawsko-pomorskie"
"939",86,NA,"lubelskie"
"940",99,NA,"lubuskie"
"941",98,NA,"łódzkie"
"942",306,NA,"małopolskie"
"943",475,NA,"mazowieckie"
"944",125,NA,"opolskie"
"945",83,NA,"podkarpackie"
"946",69,NA,"podlaskie"
"947",468,NA,"pomorskie"
"948",311,NA,"śląskie"
"949",73,NA,"świętokrzyskie"
"950",108,NA,"warmińsko-mazurskie"
"951",224,NA,"wielkopolskie"
"952",292,NA,"zachodniopomorskie"
"953",4835,NA,"Cały kraj"
"954",311,NA,"dolnośląskie"
"955",438,NA,"kujawsko-pomorskie"
"956",266,NA,"lubelskie"
"957",85,NA,"lubuskie"
"958",275,NA,"łódzkie"
"959",234,NA,"małopolskie"
"960",683,NA,"mazowieckie"
"961",95,NA,"opolskie"
"962",188,NA,"podkarpackie"
"963",126,NA,"podlaskie"
"964",411,NA,"pomorskie"
"965",368,NA,"śląskie"
"966",77,NA,"świętokrzyskie"
"967",354,NA,"warmińsko-mazurskie"
"968",413,NA,"wielkopolskie"
"969",392,NA,"zachodniopomorskie"
"970",6919,NA,"Cały kraj"
"971",336,NA,"dolnośląskie"
"972",534,NA,"kujawsko-pomorskie"
"973",357,NA,"lubelskie"
"974",201,NA,"lubuskie"
"975",393,NA,"łódzkie"
"976",280,NA,"małopolskie"
"977",890,NA,"mazowieckie"
"978",138,NA,"opolskie"
"979",192,NA,"podkarpackie"
"980",329,NA,"podlaskie"
"981",582,NA,"pomorskie"
"982",649,NA,"śląskie"
"983",125,NA,"świętokrzyskie"
"984",549,NA,"warmińsko-mazurskie"
"985",683,NA,"wielkopolskie"
"986",550,NA,"zachodniopomorskie"
"987",7152,NA,"Cały kraj"
"988",567,NA,"dolnośląskie"
"989",729,NA,"kujawsko-pomorskie"
"990",323,NA,"lubelskie"
"991",217,NA,"lubuskie"
"992",410,NA,"łódzkie"
"993",315,NA,"małopolskie"
"994",874,NA,"mazowieckie"
"995",143,NA,"opolskie"
"996",216,NA,"podkarpackie"
"997",226,NA,"podlaskie"
"998",740,NA,"pomorskie"
"999",489,NA,"śląskie"
"1000",147,NA,"świętokrzyskie"
"1001",415,NA,"warmińsko-mazurskie"
"1002",740,NA,"wielkopolskie"
"1003",469,NA,"zachodniopomorskie"
"1004",6640,NA,"Cały kraj"
"1005",366,NA,"dolnośląskie"
"1006",613,NA,"kujawsko-pomorskie"
"1007",311,NA,"lubelskie"
"1008",208,NA,"lubuskie"
"1009",351,NA,"łódzkie"
"1010",270,NA,"małopolskie"
"1011",856,NA,"mazowieckie"
"1012",113,NA,"opolskie"
"1013",175,NA,"podkarpackie"
"1014",229,NA,"podlaskie"
"1015",770,NA,"pomorskie"
"1016",488,NA,"śląskie"
"1017",125,NA,"świętokrzyskie"
"1018",476,NA,"warmińsko-mazurskie"
"1019",672,NA,"wielkopolskie"
"1020",504,NA,"zachodniopomorskie"
"1021",6322,NA,"Cały kraj"
"1022",414,NA,"dolnośląskie"
"1023",644,NA,"kujawsko-pomorskie"
"1024",378,NA,"lubelskie"
"1025",166,NA,"lubuskie"
"1026",348,NA,"łódzkie"
"1027",250,NA,"małopolskie"
"1028",936,NA,"mazowieckie"
"1029",95,NA,"opolskie"
"1030",159,NA,"podkarpackie"
"1031",218,NA,"podlaskie"
"1032",513,NA,"pomorskie"
"1033",529,NA,"śląskie"
"1034",90,NA,"świętokrzyskie"
"1035",361,NA,"warmińsko-mazurskie"
"1036",600,NA,"wielkopolskie"
"1037",477,NA,"zachodniopomorskie"
"1038",4683,NA,"Cały kraj"
"1039",251,NA,"dolnośląskie"
"1040",447,NA,"kujawsko-pomorskie"
"1041",234,NA,"lubelskie"
"1042",145,NA,"lubuskie"
"1043",283,NA,"łódzkie"
"1044",219,NA,"małopolskie"
"1045",687,NA,"mazowieckie"
"1046",104,NA,"opolskie"
"1047",191,NA,"podkarpackie"
"1048",161,NA,"podlaskie"
"1049",461,NA,"pomorskie"
"1050",352,NA,"śląskie"
"1051",81,NA,"świętokrzyskie"
"1052",170,NA,"warmińsko-mazurskie"
"1053",509,NA,"wielkopolskie"
"1054",259,NA,"zachodniopomorskie"
"1055",2419,NA,"Cały kraj"
"1056",179,NA,"dolnośląskie"
"1057",218,NA,"kujawsko-pomorskie"
"1058",78,NA,"lubelskie"
"1059",134,NA,"lubuskie"
"1060",118,NA,"łódzkie"
"1061",115,NA,"małopolskie"
"1062",371,NA,"mazowieckie"
"1063",45,NA,"opolskie"
"1064",61,NA,"podkarpackie"
"1065",95,NA,"podlaskie"
"1066",357,NA,"pomorskie"
"1067",147,NA,"śląskie"
"1068",40,NA,"świętokrzyskie"
"1069",75,NA,"warmińsko-mazurskie"
"1070",200,NA,"wielkopolskie"
"1071",130,NA,"zachodniopomorskie"
"1072",4604,NA,"Cały kraj"
"1073",312,NA,"dolnośląskie"
"1074",452,NA,"kujawsko-pomorskie"
"1075",336,NA,"lubelskie"
"1076",93,NA,"lubuskie"
"1077",256,NA,"łódzkie"
"1078",159,NA,"małopolskie"
"1079",570,NA,"mazowieckie"
"1080",78,NA,"opolskie"
"1081",136,NA,"podkarpackie"
"1082",145,NA,"podlaskie"
"1083",361,NA,"pomorskie"
"1084",342,NA,"śląskie"
"1085",86,NA,"świętokrzyskie"
"1086",383,NA,"warmińsko-mazurskie"
"1087",442,NA,"wielkopolskie"
"1088",298,NA,"zachodniopomorskie"
"1089",6789,NA,"Cały kraj"
"1090",343,NA,"dolnośląskie"
"1091",634,NA,"kujawsko-pomorskie"
"1092",358,NA,"lubelskie"
"1093",174,NA,"lubuskie"
"1094",392,NA,"łódzkie"
"1095",359,NA,"małopolskie"
"1096",934,NA,"mazowieckie"
"1097",105,NA,"opolskie"
"1098",182,NA,"podkarpackie"
"1099",317,NA,"podlaskie"
"1100",636,NA,"pomorskie"
"1101",623,NA,"śląskie"
"1102",97,NA,"świętokrzyskie"
"1103",435,NA,"warmińsko-mazurskie"
"1104",656,NA,"wielkopolskie"
"1105",401,NA,"zachodniopomorskie"
"1106",7156,"2021-01-27","Cały kraj"
"1107",527,"2021-01-27","dolnośląskie"
"1108",718,"2021-01-27","kujawsko-pomorskie"
"1109",354,"2021-01-27","lubelskie"
"1110",226,"2021-01-27","lubuskie"
"1111",391,"2021-01-27","łódzkie"
"1112",290,"2021-01-27","małopolskie"
"1113",1046,"2021-01-27","mazowieckie"
"1114",153,"2021-01-27","opolskie"
"1115",270,"2021-01-27","podkarpackie"
"1116",209,"2021-01-27","podlaskie"
"1117",659,"2021-01-27","pomorskie"
"1118",557,"2021-01-27","śląskie"
"1119",114,"2021-01-27","świętokrzyskie"
"1120",413,"2021-01-27","warmińsko-mazurskie"
"1121",669,"2021-01-27","wielkopolskie"
"1122",420,"2021-01-27","zachodniopomorskie"
"1123",6144,"2021-01-28","Cały kraj"
"1124",386,"2021-01-28","dolnośląskie"
"1125",500,"2021-01-28","kujawsko-pomorskie"
"1126",264,"2021-01-28","lubelskie"
"1127",171,"2021-01-28","lubuskie"
"1128",309,"2021-01-28","łódzkie"
"1129",250,"2021-01-28","małopolskie"
"1130",972,"2021-01-28","mazowieckie"
"1131",145,"2021-01-28","opolskie"
"1132",222,"2021-01-28","podkarpackie"
"1133",254,"2021-01-28","podlaskie"
"1134",556,"2021-01-28","pomorskie"
"1135",427,"2021-01-28","śląskie"
"1136",93,"2021-01-28","świętokrzyskie"
"1137",442,"2021-01-28","warmińsko-mazurskie"
"1138",656,"2021-01-28","wielkopolskie"
"1139",411,"2021-01-28","zachodniopomorskie"
"1140",5864,"2021-01-29","Cały kraj"
"1141",338,"2021-01-29","dolnośląskie"
"1142",482,"2021-01-29","kujawsko-pomorskie"
"1143",318,"2021-01-29","lubelskie"
"1144",178,"2021-01-29","lubuskie"
"1145",335,"2021-01-29","łódzkie"
"1146",265,"2021-01-29","małopolskie"
"1147",950,"2021-01-29","mazowieckie"
"1148",100,"2021-01-29","opolskie"
"1149",150,"2021-01-29","podkarpackie"
"1150",251,"2021-01-29","podlaskie"
"1151",523,"2021-01-29","pomorskie"
"1152",493,"2021-01-29","śląskie"
"1153",82,"2021-01-29","świętokrzyskie"
"1154",326,"2021-01-29","warmińsko-mazurskie"
"1155",549,"2021-01-29","wielkopolskie"
"1156",396,"2021-01-29","zachodniopomorskie"
"1157",4706,"2021-01-30","Cały kraj"
"1158",303,"2021-01-30","dolnośląskie"
"1159",394,"2021-01-30","kujawsko-pomorskie"
"1160",227,"2021-01-30","lubelskie"
"1161",170,"2021-01-30","lubuskie"
"1162",203,"2021-01-30","łódzkie"
"1163",204,"2021-01-30","małopolskie"
"1164",765,"2021-01-30","mazowieckie"
"1165",124,"2021-01-30","opolskie"
"1166",136,"2021-01-30","podkarpackie"
"1167",187,"2021-01-30","podlaskie"
"1168",449,"2021-01-30","pomorskie"
"1169",329,"2021-01-30","śląskie"
"1170",82,"2021-01-30","świętokrzyskie"
"1171",248,"2021-01-30","warmińsko-mazurskie"
"1172",478,"2021-01-30","wielkopolskie"
"1173",293,"2021-01-30","zachodniopomorskie"
"1174",2503,"2021-01-31","Cały kraj"
"1175",202,"2021-01-31","dolnośląskie"
"1176",219,"2021-01-31","kujawsko-pomorskie"
"1177",69,"2021-01-31","lubelskie"
"1178",91,"2021-01-31","lubuskie"
"1179",113,"2021-01-31","łódzkie"
"1180",182,"2021-01-31","małopolskie"
"1181",440,"2021-01-31","mazowieckie"
"1182",44,"2021-01-31","opolskie"
"1183",116,"2021-01-31","podkarpackie"
"1184",82,"2021-01-31","podlaskie"
"1185",243,"2021-01-31","pomorskie"
"1186",131,"2021-01-31","śląskie"
"1187",63,"2021-01-31","świętokrzyskie"
"1188",82,"2021-01-31","warmińsko-mazurskie"
"1189",150,"2021-01-31","wielkopolskie"
"1190",182,"2021-01-31","zachodniopomorskie"
"1191",4326,"2021-02-01","Cały kraj"
"1192",236,"2021-02-01","dolnośląskie"
"1193",449,"2021-02-01","kujawsko-pomorskie"
"1194",256,"2021-02-01","lubelskie"
"1195",84,"2021-02-01","lubuskie"
"1196",238,"2021-02-01","łódzkie"
"1197",244,"2021-02-01","małopolskie"
"1198",586,"2021-02-01","mazowieckie"
"1199",55,"2021-02-01","opolskie"
"1200",152,"2021-02-01","podkarpackie"
"1201",150,"2021-02-01","podlaskie"
"1202",326,"2021-02-01","pomorskie"
"1203",343,"2021-02-01","śląskie"
"1204",95,"2021-02-01","świętokrzyskie"
"1205",377,"2021-02-01","warmińsko-mazurskie"
"1206",336,"2021-02-01","wielkopolskie"
"1207",272,"2021-02-01","zachodniopomorskie"
"1208",6802,"2021-02-02","Cały kraj"
"1209",392,"2021-02-02","dolnośląskie"
"1210",432,"2021-02-02","kujawsko-pomorskie"
"1211",324,"2021-02-02","lubelskie"
"1212",196,"2021-02-02","lubuskie"
"1213",393,"2021-02-02","łódzkie"
"1214",355,"2021-02-02","małopolskie"
"1215",1129,"2021-02-02","mazowieckie"
"1216",124,"2021-02-02","opolskie"
"1217",230,"2021-02-02","podkarpackie"
"1218",237,"2021-02-02","podlaskie"
"1219",647,"2021-02-02","pomorskie"
"1220",702,"2021-02-02","śląskie"
"1221",95,"2021-02-02","świętokrzyskie"
"1222",460,"2021-02-02","warmińsko-mazurskie"
"1223",586,"2021-02-02","wielkopolskie"
"1224",378,"2021-02-02","zachodniopomorskie"
"1225",6496,"2021-02-03","Cały kraj"
"1226",388,"2021-02-03","dolnośląskie"
"1227",719,"2021-02-03","kujawsko-pomorskie"
"1228",294,"2021-02-03","lubelskie"
"1229",241,"2021-02-03","lubuskie"
"1230",283,"2021-02-03","łódzkie"
"1231",272,"2021-02-03","małopolskie"
"1232",960,"2021-02-03","mazowieckie"
"1233",138,"2021-02-03","opolskie"
"1234",265,"2021-02-03","podkarpackie"
"1235",298,"2021-02-03","podlaskie"
"1236",564,"2021-02-03","pomorskie"
"1237",523,"2021-02-03","śląskie"
"1238",91,"2021-02-03","świętokrzyskie"
"1239",483,"2021-02-03","warmińsko-mazurskie"
"1240",545,"2021-02-03","wielkopolskie"
"1241",341,"2021-02-03","zachodniopomorskie"
"1242",6053,"2021-02-04","Cały kraj"
"1243",313,"2021-02-04","dolnośląskie"
"1244",557,"2021-02-04","kujawsko-pomorskie"
"1245",264,"2021-02-04","lubelskie"
"1246",183,"2021-02-04","lubuskie"
"1247",353,"2021-02-04","łódzkie"
"1248",266,"2021-02-04","małopolskie"
"1249",961,"2021-02-04","mazowieckie"
"1250",96,"2021-02-04","opolskie"
"1251",206,"2021-02-04","podkarpackie"
"1252",219,"2021-02-04","podlaskie"
"1253",507,"2021-02-04","pomorskie"
"1254",542,"2021-02-04","śląskie"
"1255",149,"2021-02-04","świętokrzyskie"
"1256",394,"2021-02-04","warmińsko-mazurskie"
"1257",603,"2021-02-04","wielkopolskie"
"1258",328,"2021-02-04","zachodniopomorskie"
"1259",5965,"2021-02-05","Cały kraj"
"1260",329,"2021-02-05","dolnośląskie"
"1261",466,"2021-02-05","kujawsko-pomorskie"
"1262",320,"2021-02-05","lubelskie"
"1263",180,"2021-02-05","lubuskie"
"1264",319,"2021-02-05","łódzkie"
"1265",293,"2021-02-05","małopolskie"
"1266",986,"2021-02-05","mazowieckie"
"1267",102,"2021-02-05","opolskie"
"1268",205,"2021-02-05","podkarpackie"
"1269",217,"2021-02-05","podlaskie"
"1270",601,"2021-02-05","pomorskie"
"1271",485,"2021-02-05","śląskie"
"1272",162,"2021-02-05","świętokrzyskie"
"1273",439,"2021-02-05","warmińsko-mazurskie"
"1274",451,"2021-02-05","wielkopolskie"
"1275",278,"2021-02-05","zachodniopomorskie"
"1276",4728,"2021-02-06","Cały kraj"
"1277",244,"2021-02-06","dolnośląskie"
"1278",381,"2021-02-06","kujawsko-pomorskie"
"1279",201,"2021-02-06","lubelskie"
"1280",197,"2021-02-06","lubuskie"
"1281",200,"2021-02-06","łódzkie"
"1282",226,"2021-02-06","małopolskie"
"1283",744,"2021-02-06","mazowieckie"
"1284",82,"2021-02-06","opolskie"
"1285",191,"2021-02-06","podkarpackie"
"1286",133,"2021-02-06","podlaskie"
"1287",554,"2021-02-06","pomorskie"
"1288",393,"2021-02-06","śląskie"
"1289",125,"2021-02-06","świętokrzyskie"
"1290",214,"2021-02-06","warmińsko-mazurskie"
"1291",484,"2021-02-06","wielkopolskie"
"1292",228,"2021-02-06","zachodniopomorskie"
"1293",2431,"2021-02-07","Cały kraj"
"1294",111,"2021-02-07","dolnośląskie"
"1295",227,"2021-02-07","kujawsko-pomorskie"
"1296",110,"2021-02-07","lubelskie"
"1297",88,"2021-02-07","lubuskie"
"1298",84,"2021-02-07","łódzkie"
"1299",83,"2021-02-07","małopolskie"
"1300",438,"2021-02-07","mazowieckie"
"1301",40,"2021-02-07","opolskie"
"1302",155,"2021-02-07","podkarpackie"
"1303",90,"2021-02-07","podlaskie"
"1304",332,"2021-02-07","pomorskie"
"1305",145,"2021-02-07","śląskie"
"1306",95,"2021-02-07","świętokrzyskie"
"1307",70,"2021-02-07","warmińsko-mazurskie"
"1308",155,"2021-02-07","wielkopolskie"
"1309",122,"2021-02-07","zachodniopomorskie"
"1310",4029,"2021-02-08","Cały kraj"
"1311",206,"2021-02-08","dolnośląskie"
"1312",339,"2021-02-08","kujawsko-pomorskie"
"1313",200,"2021-02-08","lubelskie"
"1314",73,"2021-02-08","lubuskie"
"1315",179,"2021-02-08","łódzkie"
"1316",191,"2021-02-08","małopolskie"
"1317",602,"2021-02-08","mazowieckie"
"1318",62,"2021-02-08","opolskie"
"1319",158,"2021-02-08","podkarpackie"
"1320",200,"2021-02-08","podlaskie"
"1321",403,"2021-02-08","pomorskie"
"1322",369,"2021-02-08","śląskie"
"1323",62,"2021-02-08","świętokrzyskie"
"1324",491,"2021-02-08","warmińsko-mazurskie"
"1325",208,"2021-02-08","wielkopolskie"
"1326",192,"2021-02-08","zachodniopomorskie"
"1327",6930,"2021-02-09","Cały kraj"
"1328",271,"2021-02-09","dolnośląskie"
"1329",568,"2021-02-09","kujawsko-pomorskie"
"1330",322,"2021-02-09","lubelskie"
"1331",258,"2021-02-09","lubuskie"
"1332",374,"2021-02-09","łódzkie"
"1333",340,"2021-02-09","małopolskie"
"1334",1074,"2021-02-09","mazowieckie"
"1335",68,"2021-02-09","opolskie"
"1336",290,"2021-02-09","podkarpackie"
"1337",295,"2021-02-09","podlaskie"
"1338",540,"2021-02-09","pomorskie"
"1339",688,"2021-02-09","śląskie"
"1340",131,"2021-02-09","świętokrzyskie"
"1341",607,"2021-02-09","warmińsko-mazurskie"
"1342",627,"2021-02-09","wielkopolskie"
"1343",353,"2021-02-09","zachodniopomorskie"
"1344",7008,"2021-02-10","Cały kraj"
"1345",396,"2021-02-10","dolnośląskie"
"1346",567,"2021-02-10","kujawsko-pomorskie"
"1347",320,"2021-02-10","lubelskie"
"1348",227,"2021-02-10","lubuskie"
"1349",416,"2021-02-10","łódzkie"
"1350",364,"2021-02-10","małopolskie"
"1351",1087,"2021-02-10","mazowieckie"
"1352",152,"2021-02-10","opolskie"
"1353",357,"2021-02-10","podkarpackie"
"1354",252,"2021-02-10","podlaskie"
"1355",702,"2021-02-10","pomorskie"
"1356",621,"2021-02-10","śląskie"
"1357",119,"2021-02-10","świętokrzyskie"
"1358",494,"2021-02-10","warmińsko-mazurskie"
"1359",556,"2021-02-10","wielkopolskie"
"1360",272,"2021-02-10","zachodniopomorskie"
"1361",6379,"2021-02-11","Cały kraj"
"1362",399,"2021-02-11","dolnośląskie"
"1363",512,"2021-02-11","kujawsko-pomorskie"
"1364",316,"2021-02-11","lubelskie"
"1365",221,"2021-02-11","lubuskie"
"1366",249,"2021-02-11","łódzkie"
"1367",251,"2021-02-11","małopolskie"
"1368",1010,"2021-02-11","mazowieckie"
"1369",85,"2021-02-11","opolskie"
"1370",328,"2021-02-11","podkarpackie"
"1371",266,"2021-02-11","podlaskie"
"1372",581,"2021-02-11","pomorskie"
"1373",523,"2021-02-11","śląskie"
"1374",131,"2021-02-11","świętokrzyskie"
"1375",534,"2021-02-11","warmińsko-mazurskie"
"1376",535,"2021-02-11","wielkopolskie"
"1377",316,"2021-02-11","zachodniopomorskie"
"1378",6586,"2021-02-12","Cały kraj"
"1379",404,"2021-02-12","dolnośląskie"
"1380",518,"2021-02-12","kujawsko-pomorskie"
