"","liczba_przypadkow","stan_rekordu_na","wojewodztwo"
"146",515,"2020-12-01","podkarpackie"
"147",389,"2020-12-01","podlaskie"
"148",1069,"2020-12-01","pomorskie"
"149",1507,"2020-12-01","śląskie"
"150",275,"2020-12-01","świętokrzyskie"
"151",783,"2020-12-01","warmińsko-mazurskie"
"152",1579,"2020-12-01","wielkopolskie"
"153",754,"2020-12-01","zachodniopomorskie"
"154",14838,"2020-12-02","Cały kraj"
"155",845,"2020-12-02","dolnośląskie"
"156",1352,"2020-12-02","kujawsko-pomorskie"
"157",794,"2020-12-02","lubelskie"
"158",359,"2020-12-02","lubuskie"
"159",892,"2020-12-02","łódzkie"
"160",645,"2020-12-02","małopolskie"
"161",1794,"2020-12-02","mazowieckie"
"162",467,"2020-12-02","opolskie"
"163",415,"2020-12-02","podkarpackie"
"164",356,"2020-12-02","podlaskie"
"165",1237,"2020-12-02","pomorskie"
"166",1529,"2020-12-02","śląskie"
"167",355,"2020-12-02","świętokrzyskie"
"168",1057,"2020-12-02","warmińsko-mazurskie"
"169",1760,"2020-12-02","wielkopolskie"
"170",945,"2020-12-02","zachodniopomorskie"
"171",13230,"2020-12-03","Cały kraj"
"172",828,"2020-12-03","dolnośląskie"
"173",1080,"2020-12-03","kujawsko-pomorskie"
"174",716,"2020-12-03","lubelskie"
"175",485,"2020-12-03","lubuskie"
"176",918,"2020-12-03","łódzkie"
"177",600,"2020-12-03","małopolskie"
"178",1649,"2020-12-03","mazowieckie"
"179",448,"2020-12-03","opolskie"
"180",322,"2020-12-03","podkarpackie"
"181",373,"2020-12-03","podlaskie"
"182",818,"2020-12-03","pomorskie"
"183",1346,"2020-12-03","śląskie"
"184",252,"2020-12-03","świętokrzyskie"
"185",969,"2020-12-03","warmińsko-mazurskie"
"186",1381,"2020-12-03","wielkopolskie"
"187",998,"2020-12-03","zachodniopomorskie"
"188",12430,"2020-12-04","Cały kraj"
"189",918,"2020-12-04","dolnośląskie"
"190",1093,"2020-12-04","kujawsko-pomorskie"
"191",732,"2020-12-04","lubelskie"
"192",340,"2020-12-04","lubuskie"
"193",895,"2020-12-04","łódzkie"
"194",551,"2020-12-04","małopolskie"
"195",1579,"2020-12-04","mazowieckie"
"196",359,"2020-12-04","opolskie"
"197",257,"2020-12-04","podkarpackie"
"198",285,"2020-12-04","podlaskie"
"199",970,"2020-12-04","pomorskie"
"200",1285,"2020-12-04","śląskie"
"201",205,"2020-12-04","świętokrzyskie"
"202",760,"2020-12-04","warmińsko-mazurskie"
"203",1194,"2020-12-04","wielkopolskie"
"204",978,"2020-12-04","zachodniopomorskie"
"205",9175,"2020-12-05","Cały kraj"
"206",475,"2020-12-05","dolnośląskie"
"207",722,"2020-12-05","kujawsko-pomorskie"
"208",352,"2020-12-05","lubelskie"
"209",326,"2020-12-05","lubuskie"
"210",558,"2020-12-05","łódzkie"
"211",382,"2020-12-05","małopolskie"
"212",1172,"2020-12-05","mazowieckie"
"213",309,"2020-12-05","opolskie"
"214",183,"2020-12-05","podkarpackie"
"215",220,"2020-12-05","podlaskie"
"216",877,"2020-12-05","pomorskie"
"217",905,"2020-12-05","śląskie"
"218",190,"2020-12-05","świętokrzyskie"
"219",695,"2020-12-05","warmińsko-mazurskie"
"220",1098,"2020-12-05","wielkopolskie"
"221",678,"2020-12-05","zachodniopomorskie"
"222",4424,"2020-12-06","Cały kraj"
"223",288,"2020-12-06","dolnośląskie"
"224",350,"2020-12-06","kujawsko-pomorskie"
"225",178,"2020-12-06","lubelskie"
"226",162,"2020-12-06","lubuskie"
"227",238,"2020-12-06","łódzkie"
"228",213,"2020-12-06","małopolskie"
"229",618,"2020-12-06","mazowieckie"
"230",197,"2020-12-06","opolskie"
"231",153,"2020-12-06","podkarpackie"
"232",154,"2020-12-06","podlaskie"
"233",338,"2020-12-06","pomorskie"
"234",266,"2020-12-06","śląskie"
"235",70,"2020-12-06","świętokrzyskie"
"236",222,"2020-12-06","warmińsko-mazurskie"
"237",423,"2020-12-06","wielkopolskie"
"238",529,"2020-12-06","zachodniopomorskie"
"239",8315,"2020-12-07","Cały kraj"
"240",570,"2020-12-07","dolnośląskie"
"241",696,"2020-12-07","kujawsko-pomorskie"
"242",418,"2020-12-07","lubelskie"
"243",175,"2020-12-07","lubuskie"
"244",565,"2020-12-07","łódzkie"
"245",1079,"2020-12-07","małopolskie"
"246",973,"2020-12-07","mazowieckie"
"247",141,"2020-12-07","opolskie"
"248",204,"2020-12-07","podkarpackie"
"249",196,"2020-12-07","podlaskie"
"250",523,"2020-12-07","pomorskie"
"251",850,"2020-12-07","śląskie"
"252",191,"2020-12-07","świętokrzyskie"
"253",532,"2020-12-07","warmińsko-mazurskie"
"254",584,"2020-12-07","wielkopolskie"
"255",489,"2020-12-07","zachodniopomorskie"
"256",12164,"2020-12-08","Cały kraj"
"257",819,"2020-12-08","dolnośląskie"
"258",1113,"2020-12-08","kujawsko-pomorskie"
"259",728,"2020-12-08","lubelskie"
"260",348,"2020-12-08","lubuskie"
"261",822,"2020-12-08","łódzkie"
"262",566,"2020-12-08","małopolskie"
"263",1500,"2020-12-08","mazowieckie"
"264",226,"2020-12-08","opolskie"
"265",254,"2020-12-08","podkarpackie"
"266",360,"2020-12-08","podlaskie"
"267",936,"2020-12-08","pomorskie"
"268",1471,"2020-12-08","śląskie"
"269",181,"2020-12-08","świętokrzyskie"
"270",657,"2020-12-08","warmińsko-mazurskie"
"271",1204,"2020-12-08","wielkopolskie"
"272",934,"2020-12-08","zachodniopomorskie"
"273",13747,"2020-12-09","Cały kraj"
"274",986,"2020-12-09","dolnośląskie"
"275",1406,"2020-12-09","kujawsko-pomorskie"
"276",619,"2020-12-09","lubelskie"
"277",468,"2020-12-09","lubuskie"
"278",867,"2020-12-09","łódzkie"
"279",491,"2020-12-09","małopolskie"
"280",1703,"2020-12-09","mazowieckie"
"281",496,"2020-12-09","opolskie"
"282",403,"2020-12-09","podkarpackie"
"283",367,"2020-12-09","podlaskie"
"284",891,"2020-12-09","pomorskie"
"285",1253,"2020-12-09","śląskie"
"286",218,"2020-12-09","świętokrzyskie"
"287",898,"2020-12-09","warmińsko-mazurskie"
"288",1674,"2020-12-09","wielkopolskie"
"289",961,"2020-12-09","zachodniopomorskie"
"290",13105,"2020-12-10","Cały kraj"
"291",800,"2020-12-10","dolnośląskie"
"292",1012,"2020-12-10","kujawsko-pomorskie"
"293",640,"2020-12-10","lubelskie"
"294",443,"2020-12-10","lubuskie"
"295",846,"2020-12-10","łódzkie"
"296",474,"2020-12-10","małopolskie"
